timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1656434172158,3,HTTP Request,200,OK,Thread Group Start 1-134,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172163,2,HTTP Request,200,OK,Thread Group Start 1-135,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172167,3,HTTP Request,200,OK,Thread Group Start 1-136,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172171,3,HTTP Request,200,OK,Thread Group Start 1-137,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172176,2,HTTP Request,200,OK,Thread Group Start 1-138,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172179,3,HTTP Request,200,OK,Thread Group Start 1-139,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172182,3,HTTP Request,200,OK,Thread Group Start 1-140,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172186,3,HTTP Request,200,OK,Thread Group Start 1-141,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172190,3,HTTP Request,200,OK,Thread Group Start 1-142,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172193,2,HTTP Request,200,OK,Thread Group Start 1-143,text,true,,183,180,2,2,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172196,3,HTTP Request,200,OK,Thread Group Start 1-144,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,1
1656434172201,3,HTTP Request,200,OK,Thread Group Start 1-145,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,3,0,2
1656434172204,2,HTTP Request,200,OK,Thread Group Start 1-146,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172208,2,HTTP Request,200,OK,Thread Group Start 1-147,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172211,2,HTTP Request,200,OK,Thread Group Start 1-148,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,1
1656434172215,2,HTTP Request,200,OK,Thread Group Start 1-149,text,true,,183,180,1,1,http://localhost:5165/api/authentication/entermarket,2,0,0
